summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or_opposite,house_number,street_name,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle?,vehicle_year,meter_number,feet_from_curb,issue_year,issue_month,violation_datetime,violation_hour,violation_minute
1286036800,40793JY,NY,COM,2013-07-05,14,VAN,CHEVR,P,34190,10410,10510,0,13.0,13,13,944320,0013,0,1145P,,F,59,W 21 STREET,0,408,C,YYYYYYY,1100P,0600A,GREEN,0,1995,-,0,2013,July,2013-07-05 23:45:00,23.0,45.0
1286123550,GAD1485,NY,PAS,2013-08-12,20,SDN,VOLKS,T,28930,27530,29830,20140729,76.0,76,730,337777,T730,0,0546P,K,O,221,CONGRESS ST,0,408,D,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,2013,August,2013-08-12 17:46:00,17.0,46.0
1286246398,GFC5338,NY,PAS,2013-07-26,14,SDN,TOYOT,T,0,40404,40404,20150128,78.0,78,0,332116,BKTU,0,1142A,K,O,145,PROSPECT PKWAY,0,408,C,YYYYYYY,0800A,1000P,GRAY,0,2010,-,0,2013,July,2013-07-26 11:42:00,11.0,42.0
1286248000,GJA3452,NY,PAS,2013-07-23,14,SDN,KIA,T,73690,40430,48230,20140930,71.0,71,730,338558,T730,0,0758A,K,F,576,ROGERS AVE,0,408,J3,YYYYYBB,0700A,1000A,WH,0,2013,-,0,2013,July,2013-07-23 07:58:00,7.0,58.0
1286289841,GAV9235,NY,PAS,2013-07-20,50,SDN,HONDA,T,0,0,0,20140705,28.0,28,730,331797,T730,0,1120A,K,,,N/S WILLOUGHBY AVE,0,408,L2,BBBBBBB,ALL,ALL,GY,0,2012,-,0,2013,July,2013-07-20 11:20:00,11.0,20.0
1286799648,GDE3973,NY,PAS,2013-07-20,40,SDN,TOYOT,T,0,0,0,20141206,1.0,1,0,331825,MTPU,0,0324P,NY,,,E/S RIVER TER.,0,408,C,BBBBBBB,ALL,ALL,TN,0,2003,-,9,2013,July,2013-07-20 15:24:00,15.0,24.0
1286807475,GGL6608,NY,PAS,2013-07-26,40,SDN,NISSA,T,73650,60530,50630,20140930,90.0,90,730,346108,T730,0,0743A,K,O,143,ROEBLING ST,0,408,K2,BBBBBBB,ALL,ALL,WHT,0,2013,-,1,2013,July,2013-07-26 07:43:00,7.0,43.0
1286807633,84301JU,NY,COM,2013-07-19,14,P-U,DODGE,X,63030,74830,67030,20141031,79.0,79,730,345140,T730,0,0850A,K,F,737,MYRTLE AVE,0,408,I4,BBBBBBB,ALL,ALL,WH,0,2001,-,0,2013,July,2013-07-19 08:50:00,8.0,50.0
1287320491,50097JX,NY,COM,2013-08-07,40,VAN,MERCU,T,23190,27290,20340,20140331,5.0,5,110,349476,T110,0,1023A,NY,O,124,HUDSON ST,0,408,E1,BBBBBBB,ALL,ALL,RD,0,2003,-,0,2013,August,2013-08-07 10:23:00,10.0,23.0
1287320570,GEJ9154,NY,PAS,2013-08-06,51,VAN,TOYOT,X,93230,74830,67030,20150321,79.0,79,110,349476,T110,0,1120A,K,O,436,WILLOUGHBY AVE,0,408,F7,BBBBBBB,ALL,ALL,GY,0,2013,-,0,2013,August,2013-08-06 11:20:00,11.0,20.0
1288135920,GFM8884,NY,OMS,2013-07-24,19,SUBN,ME/BE,X,0,40404,40404,20140930,84.0,84,0,881709,KINA,0,0105P,K,F,209,JORLEMON ST,0,408,F1,BBBBBBB,ALL,ALL,BLU,0,2013,-,0,2013,July,2013-07-24 13:05:00,13.0,5.0
1288259270,43517LA,NY,PAS,2013-08-02,18,SDN,CADIL,P,73720,26640,26670,20140331,46.0,46,401,906480,0401,0,0450P,NY,F,1135,WEBSTER AVE,0,408,F4,BBBBBBB,ALL,ALL,WHT,0,2004,-,0,2013,August,2013-08-02 16:50:00,16.0,50.0
1289971754,XDB4574,VA,PAS,2013-08-01,40,VAN,TOYOT,P,13610,34750,34770,20140731,,0,0,930825,0000,0,0730P,NY,F,1619,BROADWAY,0,408,I4,BBBBBBB,ALL,ALL,RED,0,2007,-,0,2013,August,2013-08-01 19:30:00,19.0,30.0
1290136210,GGW7930,NY,PAS,2013-07-25,74,SUBN,MAZDA,P,56600,52400,28280,20150609,120.0,120,120,942302,0120,0,0845A,R,O,29,YORK AVE,0,408,D,BBBBBBB,ALL,ALL,TAN,0,2002,-,0,2013,July,2013-07-25 08:45:00,8.0,45.0
1290834349,429J6JM,NY,COM,2013-07-23,46,DELV,INTER,P,0,40404,40404,0,107.0,107,107,947582,0107,0,1037A,Q,F,67-21,UTOPIA PWKY,0,408,F1,BBBBBBB,ALL,ALL,BR,0,1996,-,0,2013,July,2013-07-23 10:37:00,10.0,37.0
1290834362,GBC9079,NY,PAS,2013-07-27,98,SDN,MERCU,P,14490,24590,24690,20140726,107.0,107,107,947582,0107,0,0927A,,O,170-10,69 AVE,0,408,F2,BBBBBBB,ALL,ALL,GY,0,2012,-,0,2013,July,2013-07-27 09:27:00,9.0,27.0
1291896399,G24BLB,NJ,PAS,2013-07-19,40,SDN,INFIN,P,41900,49655,39693,20151020,120.0,120,446,907618,0446,0,1135A,R,O,257,OSGOOD AVE,0,408,K6,BBBBBBB,ALL,ALL,BK,0,2011,-,0,2013,July,2013-07-19 11:35:00,11.0,35.0
1291898384,GER8956,NY,SRF,2013-07-26,14,SDN,CHEVR,P,53000,17150,18510,20140930,120.0,120,496,933167,0496,0,0637P,R,F,265,VICTORY BLVD,0,408,J6,BBBBBBB,ALL,ALL,GRAY,0,2012,-,0,2013,July,2013-07-26 18:37:00,18.0,37.0
1291905236,85796MC,NY,COM,2013-07-26,17,DELV,ISUZU,P,33990,50300,22550,20140228,120.0,120,446,903295,0446,0,0105P,NY,F,9,HYATT ST,0,408,J2,BBBBBBB,ALL,ALL,WH,0,2013,-,0,2013,July,2013-07-26 13:05:00,13.0,5.0
1292755052,GBB7685,NY,PAS,2013-07-14,19,SDN,LEXUS,X,59990,16190,16295,20140831,112.0,112,0,429825,QNR0,0,0600P,Q,F,118-20,QUEENS BLVD,0,408,C3,BBBBBBB,ALL,ALL,WHITE,0,2013,-,0,2013,July,2013-07-14 18:00:00,18.0,0.0
1292756792,GDX8921,OTHER,PAS,2013-07-15,19,SDN,HONDA,X,28790,18740,18840,20150418,115.0,115,0,0,N4CT,0,1053A,,F,94-07,ASTORIA BLVD,20130715,408,C3,BBBBBBB,ALL,ALL,SILVE,0,2003,-,0,2013,July,2013-07-15 10:53:00,10.0,53.0
1293030739,GHG2484,NY,PAS,2013-08-11,46,,FORD,P,26440,20570,20630,20150530,105.0,105,105,940472,0105,0,0130A,Q,F,112-32,212 ST,0,408,J6,BBBBBBB,ALL,ALL,BK,0,2013,-,0,2013,August,2013-08-11 01:30:00,1.0,30.0
1293090530,GES3519,NY,PAS,2013-07-07,40,SDN,HONDA,F,70630,42730,13430,20150320,75.0,75,332,920198,5332,0,0312P,K,F,169,PINE ST,0,408,E2,BBBBBBB,ALL,ALL,BLACK,0,1997,-,0,2013,July,2013-07-07 15:12:00,15.0,12.0
1293094389,GDS9810,NJ,PAS,2013-06-20,31,SDN,BMW,P,24890,17990,18010,20141015,17.0,17,0,919860,0000,0,0532P,NY,O,570,LEXINGTON AVE,0,408,C,BBBBBBB,ALL,ALL,SILVE,0,2007,-,0,2013,June,2013-06-20 17:32:00,17.0,32.0
1293100924,64195MC,NY,COM,2013-06-20,46,VAN,WHITE,F,81330,20530,64330,20140930,84.0,84,226,919877,E226,0,0344P,K,F,409,STATE ST,0,408,F1,BBBBBBB,ALL,ALL,WHITE,0,1998,-,0,2013,June,2013-06-20 15:44:00,15.0,44.0
1293101758,GCF5651,NY,PAS,2013-05-24,17,SUBN,CHRYS,F,24990,15350,21790,20140911,1.0,1,10,920027,7010,0,0900A,NY,F,114,LIBERTY ST,0,408,C4,BBBBBBB,ALL,ALL,GREEN,0,2010,-,0,2013,May,2013-05-24 09:00:00,9.0,0.0
1293101783,GCF5651,NY,PAS,2013-06-24,14,SUBN,CHRYS,F,24990,15350,21790,20140911,1.0,1,30,919852,1030,0,0825A,NY,F,112,LIBERTY ST,0,408,C,BBBBBBB,ALL,ALL,TAN,0,2010,-,0,2013,June,2013-06-24 08:25:00,8.0,25.0
1293107761,4N11B,NY,OMT,2013-06-07,14,VAN,FORD,F,34310,10610,10810,20140228,20.0,20,430,912902,1430,0,0104A,NY,O,205,W 27TH ST,0,408,C,BBBBBBB,ALL,ALL,YELLO,0,2012,-,0,2013,June,2013-06-07 01:04:00,1.0,4.0
1293525560,T632455C,NY,SRF,2013-07-29,14,SDN,LINCO,P,39430,73690,67030,20140430,71.0,71,71,928263,0071,0,0805P,K,F,322,EMPIRE BLVD,0,408,C,BBBBBBB,ALL,ALL,GRY,0,2005,-,0,2013,July,2013-07-29 20:05:00,20.0,5.0
1293525625,GGP1847,NY,PAS,2013-07-29,46,SUBN,HONDA,P,0,0,0,20150428,71.0,71,71,928263,0071,0,0945P,K,,,N/E SIDE KINGSTON AV,0,408,E2,BBBBBBB,ALL,ALL,WHT,0,2013,-,0,2013,July,2013-07-29 21:45:00,21.0,45.0
1294712755,GHF1267,NY,PAS,2013-07-21,16,VAN,CHRYS,P,14510,35010,35030,20150627,20.0,20,0,930130,TD01,0,0248P,NY,O,25,CPW,0,408,C3,BBBBBBB,ALL,ALL,BLUE,0,2002,-,0,2013,July,2013-07-21 14:48:00,14.0,48.0
1294712779,578032,NY,PAS,2013-07-30,17,SDN,AUDI,P,14510,34990,35010,20131218,20.0,20,0,930130,TD01,0,1203P,NY,O,15,CPW,0,408,E2,BBBBBBB,ALL,ALL,BLACK,0,2010,-,0,2013,July,2013-07-30 00:03:00,0.0,3.0
1294712792,GCX7943,NY,PAS,2013-07-30,17,SDN,AUDI,P,14510,34990,35010,20150314,20.0,20,0,930130,TD01,0,0133P,NY,O,15,CPW,0,408,E2,BBBBBBB,ALL,ALL,BLACK,0,1999,-,0,2013,July,2013-07-30 13:33:00,13.0,33.0
1294712901,GDZ4899,NY,PAS,2013-08-04,17,SUBN,CHRYS,P,14510,34990,35010,20150605,20.0,20,0,930130,TD01,0,0353P,NY,O,15,CPW,0,408,C4,BBBBBBB,ALL,ALL,RED,0,2002,-,0,2013,August,2013-08-04 15:53:00,15.0,53.0
1294712950,GCF7473,NY,PAS,2013-08-04,17,SDN,HYUND,P,14510,35010,35030,20141125,20.0,20,0,930130,TD01,0,0233P,NY,O,25,CPW,0,408,C4,BBBBBBB,ALL,ALL,BLACK,0,2001,-,0,2013,August,2013-08-04 14:33:00,14.0,33.0
1294713218,GFC8215,NY,PAS,2013-08-13,38,SUBN,CHEVR,P,0,35590,0,20150328,20.0,20,860,905907,0860,0,1200P,NY,O,1,CENTRAL PARK WEST ON,0,408,F1,BBBBBBB,ALL,ALL,BLACK,0,2012,-,0,2013,August,2013-08-13 00:00:00,0.0,0.0
1295357240,T624858C,NY,PAS,2013-07-22,21,SUBN,TOYOT,X,28790,11610,19690,20140430,5.0,5,0,859944,ME03,0,1145A,,O,3,PIKE ST,0,408,D1,YBBBBBB,1201A,1159P,SILVE,0,2012,-,0,2013,July,2013-07-22 11:45:00,11.0,45.0
1295546486,42909JM,NY,COM,2013-07-17,19,DELV,MERCU,P,58590,17790,18040,0,103.0,103,171,953627,0171,0,0430P,Q,O,88-28,PARSONS BLVD,20130717,408,E5,BBBBBBB,ALL,ALL,BROWN,0,1996,-,0,2013,July,2013-07-17 16:30:00,16.0,30.0
1302446411,EPS8277,NY,PAS,2013-06-18,17,SDN,BMW,C,20110,75530,81330,0,84.0,84,0,0,0KCC,0,0850A,K,F,53,BOERUM PLACE,0,408,C4,YYYYYBB,0700A,0700P,BLACK,0,2005,-,0,2013,June,2013-06-18 08:50:00,8.0,50.0
1302446484,452WW4,MA,PAS,2013-06-24,46,SDN,CHEVR,C,75530,20110,77730,0,84.0,84,0,0,0KCC,0,1025A,K,F,120,SCHERMERHORN ST,0,408,C4,BBBBBBB,ALL,ALL,YELLO,0,2013,-,0,2013,June,2013-06-24 10:25:00,10.0,25.0
1302456593,GEZ1408,NY,PAS,2013-07-15,17,SUBN,HYUND,X,77730,56530,75530,20150605,84.0,84,0,0,0KVC,0,0743A,K,O,47-51,SMITH ST,0,408,C4,YYYYYBB,0700A,0700P,BLK,0,2013,-,0,2013,July,2013-07-15 07:43:00,7.0,43.0
1302456738,UCSLIM,NY,PAS,2013-08-07,17,SUBN,FORD,X,77730,56530,75530,20131102,84.0,84,0,0,0KCV,0,0905A,K,,43-57,SMITH ST,0,408,C4,YYYYYBB,0700A,0700P,BLK,0,2003,-,0,2013,August,2013-08-07 09:05:00,9.0,5.0
1302456740,GDG4383,NY,PAS,2013-08-09,17,SDN,BMW,C,77730,56530,75530,20141115,84.0,84,0,0,0KCV,0,0740A,K,O,43-51,SMITH ST,0,408,C4,YYYYYBB,0700A,0700P,BL,0,2006,-,0,2013,August,2013-08-09 07:40:00,7.0,40.0
1302466215,VTHAMM,NY,PAS,2013-08-08,17,SDN,ME/BE,X,11800,53630,93250,20130808,84.0,84,0,0,0KSC,0,1117A,K,F,360,ADAMS ST,0,408,C4,YYYYYBB,0700A,0700P,SILVR,0,2001,-,0,2013,August,2013-08-08 11:17:00,11.0,17.0
1302466227,TWODAMAX,NY,SRF,2013-08-05,17,SDN,HYUND,X,53630,42730,24245,20131111,84.0,84,0,0,0KSC,0,1230P,K,F,2,JOHNSON ST,0,408,C4,YYYYYBB,0700A,0700P,GRAY,0,2012,-,0,2013,August,2013-08-05 00:30:00,0.0,30.0
1302466276,GCN3163,NY,PAS,2013-07-26,17,SDN,BMW,X,53630,42730,24245,20141212,84.0,84,0,0,0KSC,0,1120A,K,F,2,JOHNSON ST,0,408,C4,YYYYYBB,0700A,0700P,BLACK,0,2009,-,0,2013,July,2013-07-26 11:20:00,11.0,20.0
1302466331,GJA3150,NY,OMS,2013-07-12,40,SDN,CHEVR,X,53630,42730,24245,20140930,84.0,84,0,0,0KSC,0,1130A,K,F,2,JOHNSON ST,0,408,C4,BBBBBBB,ALL,ALL,SILVR,0,2013,-,0,2013,July,2013-07-12 11:30:00,11.0,30.0
1302466367,GEK8915,NY,OMS,2013-07-12,17,SUBN,HYUND,X,53630,42730,24245,20140930,84.0,84,0,0,0KSC,0,0950A,K,F,2,JOHNSON ST,0,408,E2,YYYYYBB,0700A,0700P,GRAY,0,2012,-,0,2013,July,2013-07-12 09:50:00,9.0,50.0
1302466380,GGS5125,NY,PAS,2013-07-09,17,SDN,VOLVO,X,53630,42730,24245,20150507,84.0,84,0,0,0KSC,0,1100A,K,F,2,JOHNSON ST,0,408,C4,YYYYYBB,0700A,0700P,WHITE,0,2004,-,0,2013,July,2013-07-09 11:00:00,11.0,0.0
1302466483,GEF7281,NY,PAS,2013-06-28,17,,HYUND,X,11800,53630,93250,20150407,84.0,84,0,0,0KSC,0,1110A,K,F,360,ADAMS ST,0,408,C4,YYYYYBB,0700A,0700P,BIRG,0,2006,-,0,2013,June,2013-06-28 11:10:00,11.0,10.0
1302490679,GAR7109,NY,PAS,2013-07-27,71,SDN,CHEVR,X,0,40404,40404,20141105,100.0,100,835,401,0835,0,0203P,Q,O,,RIIS PARK D2 MAIN LO,0,408,D,BBBBBBB,ALL,ALL,BLACK,0,2004,-,0,2013,July,2013-07-27 14:03:00,14.0,3.0
1302494843,GHM9264,NY,PAS,2013-07-20,63,SUBN,ROVER,X,0,0,0,20150508,100.0,100,835,214,0835,0,1245A,Q,,,RIIS PARK MAIN LOT,0,408,F3,BBBBBBB,1200A,0600A,GY,0,2008,-,0,2013,July,2013-07-20 12:45:00,12.0,45.0
1302494934,GJA3298,NY,OMS,2013-07-19,63,SDN,NISSA,X,0,0,0,20140930,100.0,100,835,214,0835,0,1111P,Q,F,,S/E LOT N CH BRIDGE,0,408,F3,BBBBBBB,1100P,0500A,GY,0,2013,-,0,2013,July,2013-07-19 23:11:00,23.0,11.0
1302494971,519585,NY,PAS,2013-07-19,63,SDN,HYUND,X,0,0,0,20130814,100.0,100,835,214,0835,0,1117P,Q,F,,S/E LOT N CHANNEL BR,0,408,D,BBBBBBB,1100P,0500A,GY,0,2002,-,0,2013,July,2013-07-19 23:17:00,23.0,17.0
1302494983,RPH78,NY,SRF,2013-07-19,63,SDN,TOYOT,X,0,40890,0,20140412,100.0,100,835,249,0835,0,1115P,Q,,,CROOS BAY BLVD,0,408,D,BBBBBBB,1100P,0500A,BEIGE,0,2005,-,0,2013,July,2013-07-19 23:15:00,23.0,15.0
1302497108,GBN7123,NY,PAS,2013-07-30,24,SUBN,KIA,X,11310,0,0,20140904,122.0,122,835,611,0835,0,1255P,R,,,GREAT KILLS PARK,0,408,D5,BBBBBBB,ALL,ALL,SILVR,0,2011,-,0,2013,July,2013-07-30 00:55:00,0.0,55.0
1302501653,GDE3096,NY,PAS,2013-07-24,24,FOUR,ME/BE,X,0,40404,40404,20150228,122.0,122,835,120,0835,0,0827P,R,,,GREAT KILL PARK BOAT,0,408,D,BBBBBBB,ALL,ALL,WHITE,0,1990,-,0,2013,July,2013-07-24 20:27:00,20.0,27.0
1302502554,54RD87,NY,PAS,2013-07-15,20,MOTO,HONDA,X,35150,0,0,20130430,100.0,100,835,443,0835,0,0501P,Q,,,BEACH 169TH ST,20130715,408,D,BBBBBBB,ALL,ALL,RED,0,1988,-,0,2013,July,2013-07-15 17:01:00,17.0,1.0
1302511257,GFP5637,NY,PAS,2013-07-18,20,SUBN,TOYOT,X,0,40404,40404,20150531,100.0,100,835,190,0835,0,1125P,Q,,,ALBANNERS EAST,0,408,D,BBBBBBB,1100P,0500A,GRAY,0,2012,-,0,2013,July,2013-07-18 23:25:00,23.0,25.0
1302513254,GEF7457,NY,PAS,2013-07-21,20,SDN,PONTI,X,0,0,0,20140607,100.0,100,835,0,0835,0,0137A,Q,F,,N/S CROOSBAY BLVD,0,408,D,BBBBBBB,1100P,0500A,WHITE,0,1995,-,0,2013,July,2013-07-21 01:37:00,1.0,37.0
1302513333,GGH6934,NY,PAS,2013-07-27,20,SDN,ME/BE,X,40890,0,0,20150506,100.0,100,835,219,0835,0,1136P,Q,,,N CHANNEL BRIDGE,0,408,D,BBYYBBB,1100P,0500A,BLACK,0,1988,-,0,2013,July,2013-07-27 23:36:00,23.0,36.0
1302870749,96272JY,NY,COM,2013-08-02,14,DELV,MITSU,T,18250,10210,10110,20150630,19.0,19,0,351266,0NIC,0,0930A,NY,O,225,E 63 ST,0,408,E2,BBBBBBB,ALL,ALL,WH,0,2005,-,0,2013,August,2013-08-02 09:30:00,9.0,30.0
1305400720,STN2382,NC,PAS,2013-08-03,40,SUBN,NISSA,P,0,0,0,0,44.0,44,44,944812,0044,0,0157A,BX,,,N/W W 165 ST,0,408,F7,BBBBBBB,ALL,ALL,GRAY,0,2004,-,0,2013,August,2013-08-03 01:57:00,1.0,57.0
1306112679,97732JZ,NY,COM,2013-08-15,46,REFG,HINO,X,36490,6740,7040,20131231,108.0,108,108,918036,0108,0,1150P,Q,F,21-10,BORDEN AVE,0,408,F1,BBBBBBB,ALL,ALL,WHITE,0,2003,-,0,2013,August,2013-08-15 23:50:00,23.0,50.0
1306114172,91628MC,NY,COM,2013-08-02,46,REFG,HINO,P,36490,6740,7040,20131130,108.0,108,108,951042,0108,0,0448A,Q,O,21-51,BORDEN AVE,0,408,J6,BBBBBBB,ALL,ALL,WH,0,2007,-,0,2013,August,2013-08-02 04:48:00,4.0,48.0
1306114184,84614JR,NY,COM,2013-08-23,46,REFE,ISUZU,P,36490,6740,7040,20150430,108.0,108,108,951042,0108,0,0442A,Q,O,21-09,BORDEN AVE,0,408,F1,BBBBBBB,ALL,ALL,WH,0,2012,-,0,2013,August,2013-08-23 04:42:00,4.0,42.0
1306114196,62092JL,NY,COM,2013-08-23,46,REFG,ISUZU,P,0,40404,40404,20131231,108.0,108,108,951042,0108,0,0246A,Q,O,21-09,BORDEN AE,0,408,F1,BBBBBBB,ALL,ALL,OR,0,2011,-,0,2013,August,2013-08-23 02:46:00,2.0,46.0
1306116235,GGU4798,NY,PAS,2013-07-27,46,,VOLKS,P,18240,10140,63590,20150529,108.0,108,108,949596,0108,0,0452P,Q,F,45-56,90TH STREET,0,408,F2,BBBBBBB,ALL,ALL,BL,0,2013,-,0,2013,July,2013-07-27 16:52:00,16.0,52.0
1306206844,55197JJ,NY,COM,2013-08-06,46,DELV,,P,13110,37470,37490,20140930,34.0,34,34,926416,0034,0,0410P,NY,F,105,BENNETT AVE,0,408,F1,BBBBBBB,ALL,ALL,W,0,2001,-,0,2013,August,2013-08-06 16:10:00,16.0,10.0
1306632559,44EB17,NY,PAS,2013-07-27,14,,HP,P,0,40404,40404,20140430,45.0,45,45,943587,0045,0,0550P,BX,F,2,CITY IS AVE,0,408,J2,BBBBBBB,ALL,ALL,RED,0,2002,-,0,2013,July,2013-07-27 17:50:00,17.0,50.0
1306632572,45940MD,NY,COM,2013-08-01,78,VAN,FORD,P,44240,40404,40404,20150430,45.0,45,45,943887,0045,0,1145P,BX,F,416,KIRBY ST,0,408,J6,BBBBBBB,ALL,ALL,WHT,0,2013,-,0,2013,August,2013-08-01 23:45:00,23.0,45.0
1306632584,X332JF,NY,PAS,2013-08-02,14,SUBN,MINI,P,0,40404,40404,20141129,45.0,45,45,943587,0045,0,0735P,BX,F,2,CITY IS AVE,0,408,J6,BBBBBBB,ALL,ALL,BLUE,0,2011,-,0,2013,August,2013-08-02 19:35:00,19.0,35.0
1306755700,Y309CZ,NY,PAS,2013-08-02,21,SUBN,,S,52490,39490,52390,20141119,109.0,109,0,903559,QE07,0,1107A,,F,137-06,LABURNUM AVE,0,408,D1,BBBBYBB,1100A,1230P,GRAY,0,2013,-,0,2013,August,2013-08-02 11:07:00,11.0,7.0
1306757605,T506622C,NY,SRF,2013-08-06,21,SDN,LINCO,S,54580,38990,41340,20140228,109.0,109,0,980353,QE07,0,0837A,Q,F,4318,MAIN STREET,0,408,D1,YYYYYYB,0830A,0900A,BK,0,2009,-,0,2013,August,2013-08-06 08:37:00,8.0,37.0
1306759237,GHN2704,NY,PAS,2013-08-02,21,SUBN,JEEP,S,61090,23180,23290,20150607,109.0,109,0,909934,QE07,0,1109A,Q,O,149-33,ROOSEVELT AVE,0,408,D1,BBBBYBB,1100A,1230P,WHT,0,2003,-,0,2013,August,2013-08-02 11:09:00,11.0,9.0
1306759249,GEK4279,NY,PAS,2013-08-02,21,SDN,BMW,S,23180,29290,61390,20150329,109.0,109,0,901939,QE07,0,1112A,Q,F,41-52,149 PL,0,408,D1,BBBBYBB,1100A,1230P,BLACK,0,2002,-,0,2013,August,2013-08-02 11:12:00,11.0,12.0
1306759250,G652391,IL,PAS,2013-08-16,21,SDN,NISSA,S,23290,9540,29290,20130930,109.0,109,0,901934,QE07,0,1110A,Q,F,41-31,150 ST,0,408,D1,BBBBYBB,1100A,1230P,WHT,0,2009,-,0,2013,August,2013-08-16 11:10:00,11.0,10.0
1306759262,GDL7143,NY,PAS,2013-08-16,21,SDN,BMW,S,23180,61090,29440,20141225,109.0,109,0,901934,QE07,0,1120A,Q,O,40-07,149 PL,0,408,D1,BBBBYBB,1100A,1230P,WHT,0,2013,-,0,2013,August,2013-08-16 11:20:00,11.0,20.0
1306759353,GFH7323,NY,PAS,2013-07-22,21,SDN,NISSA,S,24340,40690,42120,20131111,109.0,109,0,901934,QE07,0,1105A,Q,F,36-20,166 ST,0,408,D1,YBBBBBB,1100A,1230P,GRAY,0,2004,-,0,2013,July,2013-07-22 11:05:00,11.0,5.0
1306759444,GHT3778,NY,PAS,2013-07-23,21,SDN,AUDI,S,24540,40690,42120,20150411,109.0,109,0,901934,QE07,0,1120A,Q,F,36-34,169 ST,0,408,D1,BYBBBBB,1100A,1230P,BLK,0,2007,-,0,2013,July,2013-07-23 11:20:00,11.0,20.0
